timestamp,temp_in,hum_in,temp_out,hum_out,open_close
1523093760,21.496666,40.940002,21.120001,32.869999,0
1523093820,21.539999,40.892498,21.170000,32.900002,0
1523093880,21.420000,41.549999,21.150000,32.939999,0
1523093940,21.395000,41.660000,21.170000,32.910000,0
1523094000,21.459999,41.887501,21.190001,33.119999,0
1523094060,21.402500,41.862499,21.170000,33.400002,0
1523094120,21.323334,41.747501,21.170000,33.160000,0
1523094180,21.255001,41.084999,21.190001,33.450001,0
1523094240,21.196667,41.224998,21.190001,33.689999,0
1523094300,21.192499,41.086666,21.230000,33.869999,0
1523094360,21.103333,41.840000,21.230000,33.599998,0
1523094420,21.235001,41.592499,21.230000,33.779999,0
1523094480,21.340000,41.845001,21.290001,33.919998,0
1523094540,21.400000,42.025002,21.270000,34.090000,0
1523094600,21.400000,42.482498,21.290001,34.130001,0
1523094660,21.386667,42.582500,21.320000,34.240002,0
1523094720,21.366667,42.775002,21.320000,34.380001,1
1523094780,21.266666,42.930000,21.360001,34.099998,0
1523094840,21.190001,44.032501,21.320000,34.220001,0
1523094900,21.176666,43.942501,21.379999,34.270000,0
1523094960,21.180000,44.009998,21.379999,34.360001,0
1523095020,21.176666,43.102501,21.400000,34.349998,0
1523095080,21.142500,43.662498,21.420000,34.299999,0
1523095140,21.153334,43.997501,21.440001,34.299999,0
1523095200,21.224998,43.372501,21.469999,34.290001,0
1523095260,21.273333,42.744999,21.469999,34.290001,0
1523095320,21.310001,42.514999,21.530001,34.330002,0
1523095380,21.193333,43.529999,21.510000,34.299999,0
1523095440,21.060001,43.630001,21.490000,34.290001,0
1523095500,21.013334,43.672501,21.570000,34.290001,0
1523095560,21.035000,43.695000,21.570000,34.160000,0
1523095620,21.100000,43.512501,21.570000,34.119999,0
1523095680,21.122501,43.382500,20.930000,34.099998,0
1523095740,21.010000,43.834999,20.969999,34.060001,0
1523095800,21.030001,44.162502,20.950001,34.470001,0
1523095860,21.053333,44.196667,21.000000,34.389999,0
1523095920,21.020000,44.132500,21.000000,34.410000,0
1523095980,20.986666,43.376667,21.020000,34.439999,0
1523096040,20.975000,42.680000,21.059999,34.450001,0
1523096100,21.350000,43.555000,21.100000,34.450001,0
1523096160,21.549999,42.895000,21.080000,34.389999,0
1523096220,21.503334,43.919998,21.100000,34.450001,0
1523096280,21.525000,43.692497,21.120001,34.480000,0
1523096340,21.430000,43.195000,21.170000,34.439999,0
1523096400,21.405001,43.717499,21.170000,34.450001,0
1523096460,21.413334,42.572502,21.190001,34.439999,0
1523096520,21.445000,43.480000,21.209999,34.439999,0
1523096580,21.430000,43.872498,21.190001,34.380001,0
1523096640,21.360001,43.362499,21.230000,34.240002,0
1523096700,21.333334,42.882500,21.250000,34.090000,0
1523096760,21.340000,42.779999,21.250000,33.799999,0
1523096820,21.400000,43.264999,21.290001,33.599998,0
1523096880,21.379999,43.630001,21.270000,33.580002,0
1523096940,21.336666,43.625000,21.230000,33.950001,0
1523097000,21.310001,43.119999,21.290001,33.869999,0
1523097060,21.336668,42.700001,21.290001,33.860001,0
1523097120,21.340000,42.832500,21.270000,33.869999,1
1523097180,21.250000,44.035000,21.290001,33.720001,0
1523097240,21.172501,44.002502,21.320000,33.689999,0
1523097300,21.053333,43.337502,21.340000,33.580002,0
1523097360,21.040001,43.637501,21.340000,33.490002,0
1523097480,21.120001,44.167500,21.360001,33.480000,0
1523097540,21.090000,44.000000,21.320000,33.410000,0
1523097600,21.059999,43.995003,21.360001,33.450001,0
1523097660,21.135000,44.334999,21.360001,33.509998,0
1523097720,21.190001,43.462502,21.379999,33.450001,0
1523097780,21.280001,44.257500,21.360001,33.480000,0
1523097840,21.320000,44.235001,21.379999,33.490002,0
1523097900,21.290001,44.512501,21.400000,33.549999,0
